Location,Total Population,Depression.2020,Depression.2019,Status of Reopening,Stay at Home Order,Date of Stay at Home Order,Mandatory Quarantine for Travelers,Date of Mandatory Quarantine for Travelers,Non-Essential Business Closures,Date of New Business Closures or Limits Order,Large Gatherings Ban,Date of Large Gatherings Ban,Restaurant Limits,Date of Restaurant Limit Order,Face Covering Requirement,Date of Face Cover Requirement Order,Emergency Declaration,Date of Emergency Declaration,"Total number, adults 18 and older","Number at risk, adults 18 and older","Total number, adults under age 65","Number at risk due to health conditions, adults under age 65","Total number, adults age 65 and older",Status of Medicaid Expansion Decision,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total Hospital Beds,ICU Beds,"Intensivist (Critical Care) Physicians per 10,000 Adults","Critical Care Nurses and CRNAs per 10,000 Adults","Total 2nd-Line Critical Care Physicians* per 10,000 Adults",oct2019_rent,oct2020_rent,average.AQI.2019,average.AQI.2020,June_2020_Cases,Oct_2020_Cases,June_2020_Deaths,Oct_2020_Deaths
Alabama,4903185,33.8,24.1,Paused,Lifted,4/4/2020,-,,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,3/27/2020,No Limit,3/17/2020,Reopened to Dine-in Service,3/17/2020,Required for General Public,5/11/2020,Yes,3/13/2020,3684158,1588905,2873170,777917,810988,Not Adopted,0.469639,0.05416,0.195321,0.158831,0.020334,0.101714,15035,1870,0.41,5.07,3.48,1258,1296,48,40,19799,36541,305,423
Alaska,731545,27.1,17.4,Proceeding with Reopening,Lifted,3/28/2020,All Travelers (New),3/17/2020,All Non-Essential Businesses Permitted to Reopen,3/20/2020,No Limit,3/17/2020,Reopened to Dine-in Service,3/17/2020,Required for Certain Employees,4/24/2020,Yes,3/11/2020,527792,172913,442335,87456,85457,Adopted,0.481289,0.036663,0.213177,0.09428,0.054222,0.120369,1604,130,0.51,2.54,4.37,NA,NA,31,12,465,7328,2,26
Arizona,7278717,27.2,16.8,New Restrictions Imposed,Lifted,3/31/2020,Lifted,4/7/2020,New Business Closures or Limits,3/30/2020,>50 Prohibited,3/30/2020,New Service Limits,3/19/2020,Required for Certain Employees; Allows Local Officials to Require for General Public,6/17/2020,Yes,3/11/2020,5389431,2107495,4143554,861618,1245877,Adopted,0.444624,0.054478,0.223905,0.155921,0.014926,0.106147,12875,1742,0.56,1.46,5.23,1402,1521,41,27,59082,26734,722,305
Arkansas,3017804,28.3,25,Paused,-,,Lifted,5/14/2020,-,,No Limit,3/26/2020,Reopened to Dine-in Service with Capacity Limits,3/15/2020,Required for General Public,7/3/2020,Yes,3/11/2020,2231289,971477,1742217,482405,489072,Adopted,0.41875,0.055587,0.272687,0.156044,0.014092,0.082839,8353,856,0.29,3.19,3.58,901,945,43,41,13332,27369,136,545
California,39512223,29.7,14.7,Proceeding with Reopening,Statewide,3/19/2020,-,,New Business Closures or Limits,3/19/2020,All Gatherings Prohibited,3/16/2020,Reopened to Dine-in Service with Capacity Limits,3/16/2020,Required for General Public,6/18/2020,Yes,3/11/2020,29879585,9952647,24302948,4376010,5576637,Adopted,0.473513,0.072321,0.263108,0.109437,0.010025,0.071597,74286,8131,0.63,0.89,4.43,2597,2628,38,28,115152,109344,1910,1660
Colorado,5758736,29.2,17.2,New Restrictions Imposed,Lifted,3/26/2020,-,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,3/26/2020,>10 Prohibited,3/26/2020,Reopened to Dine-in Service with Capacity Limits,3/16/2020,Required for General Public,6/18/2020,Yes,3/10/2020,4301492,1345398,3506700,550606,794792,Adopted,0.521138,0.071739,0.184908,0.12462,0.021058,0.076538,9737,1770,0.75,1.77,5.18,1746,1782,16,24,6136,33211,223,224
Connecticut,3565287,26.6,14.4,New Restrictions Imposed,Lifted,3/23/2020,From Certain States (New),6/24/2020,New Business Closures or Limits,3/20/2020,>10 Prohibited,3/16/2020,New Service Limits,3/16/2020,Required for General Public,4/17/2020,Yes,3/10/2020,2739381,985861,2148446,394926,590935,Adopted,0.539067,0.054411,0.206315,0.139429,0.007382,0.053396,8102,731,0.98,2.66,6.08,1649,1714,43,30,3781,13465,378,104
Delaware,973764,28,18.8,Proceeding with Reopening,Lifted,3/24/2020,Lifted,3/29/2020,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,3/22/2020,>10 Prohibited,3/16/2020,Reopened to Dine-in Service with Capacity Limits,3/16/2020,Required for General Public,4/28/2020,Yes,3/12/2020,739951,305395,562058,127502,177893,Adopted,0.499181,0.046987,0.213844,0.170235,0.012211,0.057541,1916,249,0.61,4.99,4.93,NA,NA,54,28,1874,4159,139,73
Florida,21477737,30.1,17.7,Proceeding with Reopening,Lifted,4/3/2020,Lifted,3/24/2020,All Non-Essential Businesses Permitted to Reopen,4/1/2020,No Limit,4/1/2020,Reopened to Dine-in Service,3/17/2020,Required for Certain Employees,6/5/2020,Yes,3/1/2020,16683102,7018513,12389357,2724768,4293745,Not Adopted,0.400105,0.096502,0.180374,0.17389,0.017602,0.131528,53795,6226,0.63,3.17,4.14,1685,1733,48,31,95594,93402,1044,2329
Georgia,10617423,30.9,17.1,Proceeding with Reopening,Rolled Back to High Risk Groups,4/3/2020,-,,All Non-Essential Businesses Permitted to Reopen,4/24/2020,>50 Prohibited,3/23/2020,Reopened to Dine-in Service,3/23/2020,Required for Certain Employees; Allows Local Officials to Require for General Public,6/11/2020,Yes,3/14/2020,7748091,2803400,6321701,1377010,1426390,Not Adopted,0.485606,0.056954,0.174446,0.12208,0.023168,0.137747,23692,2703,0.56,2.45,3.99,1469,1549,42,38,34197,41156,730,923
